YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2025-01,WEEKDAY,0,TRAIN,BP10,0,1
2025-01,WEEKDAY,5,TRAIN,BP10,3297,327
2025-01,WEEKDAY,6,TRAIN,BP10,9312,1597
2025-01,WEEKDAY,7,TRAIN,BP10,12984,2764
2025-01,WEEKDAY,8,TRAIN,BP10,7901,2738
2025-01,WEEKDAY,9,TRAIN,BP10,4713,2260
2025-01,WEEKDAY,10,TRAIN,BP10,3474,2132
2025-01,WEEKDAY,11,TRAIN,BP10,3262,2275
2025-01,WEEKDAY,12,TRAIN,BP10,3188,2930
2025-01,WEEKDAY,13,TRAIN,BP10,3440,3711
2025-01,WEEKDAY,14,TRAIN,BP10,2595,3846
2025-01,WEEKDAY,15,TRAIN,BP10,2315,3879
2025-01,WEEKDAY,16,TRAIN,BP10,2554,4643
2025-01,WEEKDAY,17,TRAIN,BP10,3397,6153
2025-01,WEEKDAY,18,TRAIN,BP10,3524,9924
2025-01,WEEKDAY,19,TRAIN,BP10,2301,8538
2025-01,WEEKDAY,20,TRAIN,BP10,1565,4919
2025-01,WEEKDAY,21,TRAIN,BP10,1069,4066
2025-01,WEEKDAY,22,TRAIN,BP10,697,3144
2025-01,WEEKDAY,23,TRAIN,BP10,125,599
2025-01,WEEKENDS/HOLIDAY,5,TRAIN,BP10,765,114
2025-01,WEEKENDS/HOLIDAY,6,TRAIN,BP10,1217,407
2025-01,WEEKENDS/HOLIDAY,7,TRAIN,BP10,1489,797
2025-01,WEEKENDS/HOLIDAY,8,TRAIN,BP10,2079,1167
2025-01,WEEKENDS/HOLIDAY,9,TRAIN,BP10,2182,1429
2025-01,WEEKENDS/HOLIDAY,10,TRAIN,BP10,2157,1393
2025-01,WEEKENDS/HOLIDAY,11,TRAIN,BP10,2327,1741
2025-01,WEEKENDS/HOLIDAY,12,TRAIN,BP10,2408,1964
2025-01,WEEKENDS/HOLIDAY,13,TRAIN,BP10,1858,1901
2025-01,WEEKENDS/HOLIDAY,14,TRAIN,BP10,1817,1850
2025-01,WEEKENDS/HOLIDAY,15,TRAIN,BP10,1717,1920
2025-01,WEEKENDS/HOLIDAY,16,TRAIN,BP10,1732,1902
2025-01,WEEKENDS/HOLIDAY,17,TRAIN,BP10,1791,2088
2025-01,WEEKENDS/HOLIDAY,18,TRAIN,BP10,1515,2366
2025-01,WEEKENDS/HOLIDAY,19,TRAIN,BP10,1147,2147
2025-01,WEEKENDS/HOLIDAY,20,TRAIN,BP10,867,2030
2025-01,WEEKENDS/HOLIDAY,21,TRAIN,BP10,681,1851
2025-01,WEEKENDS/HOLIDAY,22,TRAIN,BP10,384,1467
2025-01,WEEKENDS/HOLIDAY,23,TRAIN,BP10,32,134
2025-01,WEEKDAY,5,TRAIN,BP11,4088,261
2025-01,WEEKDAY,6,TRAIN,BP11,13121,1181
2025-01,WEEKDAY,7,TRAIN,BP11,18026,2320
2025-01,WEEKDAY,8,TRAIN,BP11,10911,1752
2025-01,WEEKDAY,9,TRAIN,BP11,5435,1697
2025-01,WEEKDAY,10,TRAIN,BP11,3436,1398
2025-01,WEEKDAY,11,TRAIN,BP11,3085,1785
2025-01,WEEKDAY,12,TRAIN,BP11,3341,2260
2025-01,WEEKDAY,13,TRAIN,BP11,3294,3038
2025-01,WEEKDAY,14,TRAIN,BP11,2681,3428
2025-01,WEEKDAY,15,TRAIN,BP11,2288,3548
2025-01,WEEKDAY,16,TRAIN,BP11,2869,4076
2025-01,WEEKDAY,17,TRAIN,BP11,3558,5946
2025-01,WEEKDAY,18,TRAIN,BP11,3446,10129
2025-01,WEEKDAY,19,TRAIN,BP11,2260,8970
2025-01,WEEKDAY,20,TRAIN,BP11,1166,5180
2025-01,WEEKDAY,21,TRAIN,BP11,847,4491
2025-01,WEEKDAY,22,TRAIN,BP11,508,3042
2025-01,WEEKDAY,23,TRAIN,BP11,84,544
2025-01,WEEKENDS/HOLIDAY,5,TRAIN,BP11,895,66
2025-01,WEEKENDS/HOLIDAY,6,TRAIN,BP11,1330,184
2025-01,WEEKENDS/HOLIDAY,7,TRAIN,BP11,1779,388
2025-01,WEEKENDS/HOLIDAY,8,TRAIN,BP11,2566,771
2025-01,WEEKENDS/HOLIDAY,9,TRAIN,BP11,2607,946
2025-01,WEEKENDS/HOLIDAY,10,TRAIN,BP11,2719,1005
2025-01,WEEKENDS/HOLIDAY,11,TRAIN,BP11,2582,1298
2025-01,WEEKENDS/HOLIDAY,12,TRAIN,BP11,2395,1605
2025-01,WEEKENDS/HOLIDAY,13,TRAIN,BP11,2132,1547
2025-01,WEEKENDS/HOLIDAY,14,TRAIN,BP11,1753,1694
2025-01,WEEKENDS/HOLIDAY,15,TRAIN,BP11,1665,1721
2025-01,WEEKENDS/HOLIDAY,16,TRAIN,BP11,1777,1613
2025-01,WEEKENDS/HOLIDAY,17,TRAIN,BP11,1942,1749
2025-01,WEEKENDS/HOLIDAY,18,TRAIN,BP11,1757,2273
2025-01,WEEKENDS/HOLIDAY,19,TRAIN,BP11,1113,2156
2025-01,WEEKENDS/HOLIDAY,20,TRAIN,BP11,762,2129
2025-01,WEEKENDS/HOLIDAY,21,TRAIN,BP11,510,2108
2025-01,WEEKENDS/HOLIDAY,22,TRAIN,BP11,260,1467
2025-01,WEEKENDS/HOLIDAY,23,TRAIN,BP11,27,118
2025-01,WEEKDAY,5,TRAIN,BP12,2840,168
2025-01,WEEKDAY,6,TRAIN,BP12,9034,2319
2025-01,WEEKDAY,7,TRAIN,BP12,12359,8817
2025-01,WEEKDAY,8,TRAIN,BP12,8671,2834
2025-01,WEEKDAY,9,TRAIN,BP12,4243,1433
2025-01,WEEKDAY,10,TRAIN,BP12,3284,1195
2025-01,WEEKDAY,11,TRAIN,BP12,2745,1411
2025-01,WEEKDAY,12,TRAIN,BP12,4423,1721
2025-01,WEEKDAY,13,TRAIN,BP12,3890,2132
2025-01,WEEKDAY,14,TRAIN,BP12,4746,2361
2025-01,WEEKDAY,15,TRAIN,BP12,3051,2268
2025-01,WEEKDAY,16,TRAIN,BP12,2975,2612
2025-01,WEEKDAY,17,TRAIN,BP12,3737,3796
2025-01,WEEKDAY,18,TRAIN,BP12,3211,7000
2025-01,WEEKDAY,19,TRAIN,BP12,1599,6054
2025-01,WEEKDAY,20,TRAIN,BP12,1057,3276
2025-01,WEEKDAY,21,TRAIN,BP12,1071,2819
2025-01,WEEKDAY,22,TRAIN,BP12,445,1843
2025-01,WEEKDAY,23,TRAIN,BP12,44,325
2025-01,WEEKENDS/HOLIDAY,5,TRAIN,BP12,590,46
2025-01,WEEKENDS/HOLIDAY,6,TRAIN,BP12,1024,153
2025-01,WEEKENDS/HOLIDAY,7,TRAIN,BP12,1361,317
2025-01,WEEKENDS/HOLIDAY,8,TRAIN,BP12,1903,749
2025-01,WEEKENDS/HOLIDAY,9,TRAIN,BP12,1972,856
2025-01,WEEKENDS/HOLIDAY,10,TRAIN,BP12,1911,964
2025-01,WEEKENDS/HOLIDAY,11,TRAIN,BP12,1813,989
2025-01,WEEKENDS/HOLIDAY,12,TRAIN,BP12,1820,1223
2025-01,WEEKENDS/HOLIDAY,13,TRAIN,BP12,1576,1155
2025-01,WEEKENDS/HOLIDAY,14,TRAIN,BP12,1420,1157
2025-01,WEEKENDS/HOLIDAY,15,TRAIN,BP12,1431,1069
2025-01,WEEKENDS/HOLIDAY,16,TRAIN,BP12,1397,1160
2025-01,WEEKENDS/HOLIDAY,17,TRAIN,BP12,1435,1255
2025-01,WEEKENDS/HOLIDAY,18,TRAIN,BP12,1178,1408
2025-01,WEEKENDS/HOLIDAY,19,TRAIN,BP12,880,1281
2025-01,WEEKENDS/HOLIDAY,20,TRAIN,BP12,692,1273
2025-01,WEEKENDS/HOLIDAY,21,TRAIN,BP12,540,1329
2025-01,WEEKENDS/HOLIDAY,22,TRAIN,BP12,221,798
2025-01,WEEKENDS/HOLIDAY,23,TRAIN,BP12,30,96
2025-01,WEEKDAY,5,TRAIN,BP13,1495,192
2025-01,WEEKDAY,6,TRAIN,BP13,4364,499
2025-01,WEEKDAY,7,TRAIN,BP13,4846,1357
2025-01,WEEKDAY,8,TRAIN,BP13,3467,766
2025-01,WEEKDAY,9,TRAIN,BP13,2199,776
2025-01,WEEKDAY,10,TRAIN,BP13,1636,806
2025-01,WEEKDAY,11,TRAIN,BP13,1607,923
2025-01,WEEKDAY,12,TRAIN,BP13,1387,997
2025-01,WEEKDAY,13,TRAIN,BP13,1454,1361
2025-01,WEEKDAY,14,TRAIN,BP13,967,1381
2025-01,WEEKDAY,15,TRAIN,BP13,1023,1293
2025-01,WEEKDAY,16,TRAIN,BP13,1009,1264
2025-01,WEEKDAY,17,TRAIN,BP13,1547,1866
2025-01,WEEKDAY,18,TRAIN,BP13,1462,3494
2025-01,WEEKDAY,19,TRAIN,BP13,948,2839
2025-01,WEEKDAY,20,TRAIN,BP13,565,1488
2025-01,WEEKDAY,21,TRAIN,BP13,466,1051
2025-01,WEEKDAY,22,TRAIN,BP13,206,800
2025-01,WEEKDAY,23,TRAIN,BP13,19,121
2025-01,WEEKENDS/HOLIDAY,5,TRAIN,BP13,425,23
2025-01,WEEKENDS/HOLIDAY,6,TRAIN,BP13,561,179
2025-01,WEEKENDS/HOLIDAY,7,TRAIN,BP13,677,176
2025-01,WEEKENDS/HOLIDAY,8,TRAIN,BP13,1022,413
2025-01,WEEKENDS/HOLIDAY,9,TRAIN,BP13,1010,617
2025-01,WEEKENDS/HOLIDAY,10,TRAIN,BP13,1024,609
2025-01,WEEKENDS/HOLIDAY,11,TRAIN,BP13,1173,727
2025-01,WEEKENDS/HOLIDAY,12,TRAIN,BP13,1084,824
2025-01,WEEKENDS/HOLIDAY,13,TRAIN,BP13,780,815
2025-01,WEEKENDS/HOLIDAY,14,TRAIN,BP13,814,765
2025-01,WEEKENDS/HOLIDAY,15,TRAIN,BP13,778,676
2025-01,WEEKENDS/HOLIDAY,16,TRAIN,BP13,738,658
2025-01,WEEKENDS/HOLIDAY,17,TRAIN,BP13,789,656
2025-01,WEEKENDS/HOLIDAY,18,TRAIN,BP13,708,705
2025-01,WEEKENDS/HOLIDAY,19,TRAIN,BP13,548,743
2025-01,WEEKENDS/HOLIDAY,20,TRAIN,BP13,340,626
2025-01,WEEKENDS/HOLIDAY,21,TRAIN,BP13,240,552
2025-01,WEEKENDS/HOLIDAY,22,TRAIN,BP13,110,380
2025-01,WEEKENDS/HOLIDAY,23,TRAIN,BP13,2,26
2025-01,WEEKDAY,5,TRAIN,BP2,2240,418
2025-01,WEEKDAY,6,TRAIN,BP2,7427,1548
2025-01,WEEKDAY,7,TRAIN,BP2,14939,2422
2025-01,WEEKDAY,8,TRAIN,BP2,10576,1605
2025-01,WEEKDAY,9,TRAIN,BP2,4744,1337
2025-01,WEEKDAY,10,TRAIN,BP2,2931,1116
2025-01,WEEKDAY,11,TRAIN,BP2,2645,1201
2025-01,WEEKDAY,12,TRAIN,BP2,2374,1762
2025-01,WEEKDAY,13,TRAIN,BP2,3268,2367
2025-01,WEEKDAY,14,TRAIN,BP2,2028,2508
2025-01,WEEKDAY,15,TRAIN,BP2,1791,2841
2025-01,WEEKDAY,16,TRAIN,BP2,2016,3293
2025-01,WEEKDAY,17,TRAIN,BP2,3115,4720
2025-01,WEEKDAY,18,TRAIN,BP2,3422,7782
2025-01,WEEKDAY,19,TRAIN,BP2,2153,7073
2025-01,WEEKDAY,20,TRAIN,BP2,1254,4171
2025-01,WEEKDAY,21,TRAIN,BP2,809,3934
2025-01,WEEKDAY,22,TRAIN,BP2,450,2599
2025-01,WEEKDAY,23,TRAIN,BP2,36,349
2025-01,WEEKENDS/HOLIDAY,5,TRAIN,BP2,535,68
2025-01,WEEKENDS/HOLIDAY,6,TRAIN,BP2,1162,154
2025-01,WEEKENDS/HOLIDAY,7,TRAIN,BP2,1512,368
2025-01,WEEKENDS/HOLIDAY,8,TRAIN,BP2,1794,665
2025-01,WEEKENDS/HOLIDAY,9,TRAIN,BP2,1980,866
2025-01,WEEKENDS/HOLIDAY,10,TRAIN,BP2,2249,916
2025-01,WEEKENDS/HOLIDAY,11,TRAIN,BP2,2191,985
2025-01,WEEKENDS/HOLIDAY,12,TRAIN,BP2,2030,1213
2025-01,WEEKENDS/HOLIDAY,13,TRAIN,BP2,1639,1257
2025-01,WEEKENDS/HOLIDAY,14,TRAIN,BP2,1626,1425
2025-01,WEEKENDS/HOLIDAY,15,TRAIN,BP2,1445,1374
2025-01,WEEKENDS/HOLIDAY,16,TRAIN,BP2,1438,1439
2025-01,WEEKENDS/HOLIDAY,17,TRAIN,BP2,1530,1542
2025-01,WEEKENDS/HOLIDAY,18,TRAIN,BP2,1359,1678
2025-01,WEEKENDS/HOLIDAY,19,TRAIN,BP2,951,1632
2025-01,WEEKENDS/HOLIDAY,20,TRAIN,BP2,696,1729
2025-01,WEEKENDS/HOLIDAY,21,TRAIN,BP2,439,1903
2025-01,WEEKENDS/HOLIDAY,22,TRAIN,BP2,278,1270
2025-01,WEEKENDS/HOLIDAY,23,TRAIN,BP2,31,72
2025-01,WEEKDAY,5,TRAIN,BP3,2857,200
2025-01,WEEKDAY,6,TRAIN,BP3,12868,1114
2025-01,WEEKDAY,7,TRAIN,BP3,20903,2149
2025-01,WEEKDAY,8,TRAIN,BP3,13930,2445
2025-01,WEEKDAY,9,TRAIN,BP3,5686,1680
2025-01,WEEKDAY,10,TRAIN,BP3,4096,1493
2025-01,WEEKDAY,11,TRAIN,BP3,3985,2169
2025-01,WEEKDAY,12,TRAIN,BP3,3987,2586
2025-01,WEEKDAY,13,TRAIN,BP3,3127,3769
2025-01,WEEKDAY,14,TRAIN,BP3,3048,4690
2025-01,WEEKDAY,15,TRAIN,BP3,2707,4290
